ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
SMTO3;14,93;-0,27;-5,51;-15,36;28,0;-0,216;-3,1;0,71;4,26;15,6;45,3;5.9;0,65;136.0%;11.9%;45;OBSERVAR
MGLU3;4,62;2,67;-11,49;-31,76;25,5;-0,022;14,0;1,02;6,81;3,4;147,7;25.7;0,32;52.0%;1.2%;45;OBSERVAR
PETR3;43,34;0,49;-6,17;-12,54;30,3;-0,249;12,5;1,09;2,89;48,2;26,0;5.3;1,34;895.0%;25.6%;40;OBSERVAR
SLCE3;13,6;0,44;-4,56;-17,58;20,7;-0,076;11,6;0,55;2,82;3,6;43,2;20.9;1,27;-;5.3%;40;OBSERVAR
ITUB4;39,87;-0,64;-0,91;0,32;48,8;0,245;64,1;1,53;2,23;31,2;22,2;9.7;2,1;-;21.8%;35;NEUTRO
AGRO3;18,27;1,22;-2,87;-2,72;38,1;-0,023;0,8;0,99;1,82;1,2;24,5;-;0,89;403.0%;-0.7%;35;NEUTRO
PETR4;38,8;-0,13;-5,78;-12,23;28,7;-0,179;11,8;0,97;2,69;41,9;26,7;4.8;1,12;1006.0%;25.6%;30;NEUTRO
BBAS3;19,42;-0,56;-0,21;-6,06;36,1;0,093;35,7;0,54;2,35;9,7;41,8;8.7;0,6;123.0%;9.2%;30;NEUTRO
COGN3;2,34;0,43;0,0;-6,77;38,2;0,008;26,6;0,91;4,12;7,6;102,0;6.9;0,35;825.0%;4.7%;30;NEUTRO
RECV3;10,18;1,8;-6,86;-16,69;34,2;-0,061;22,2;0,9;3,97;10,9;39,9;5.6;0,71;-;12.3%;25;NEUTRO
PRIO3;57,2;0,4;-6,75;-15,88;32,9;-0,581;14,3;0,65;3,56;67,3;27,6;17.7;1,73;-;9.7%;20;NEUTRO
VALE3;80,75;1,01;2,0;-2,28;48,8;0,077;45,6;1,57;2,57;76,9;13,5;24.0;1,8;847.0%;6.8%;20;NEUTRO
SANB11;26,88;0,6;-0,92;-2,57;40,8;0,074;27,1;0,75;2,16;11,6;38,4;13.1;0,8;-;10.5%;15;EVITAR
CSAN3;3,49;2,65;4,49;-20,68;35,1;0,035;37,0;0,83;5,74;9,1;130,1;-;3,91;-;-29.9%;15;EVITAR
BBDC4;17,47;0,0;-1,85;-2,3;42,9;0,059;33,9;0,79;2,36;22,1;24,2;8.3;1,03;-;13.4%;5;EVITAR
MELI34;69,88;-0,19;4,7;0,36;50,3;0,235;55,9;0,15;3,37;13,9;71,5;43.7;11,98;-;31.3%;5;EVITAR
LWSA3;3,75;3,59;-1,32;2,18;50,2;0,003;60,6;0,54;4,28;14,3;28,1;-;0,88;-;-8.6%;5;EVITAR
